,title,Domestic Gross,Year,rating,id,imdbid
142,Fat Girl,725854,2001,1,3161,243255
143,Bread and Roses,533479,2001,1,348,212826
144,Focus,645418,2001,0,6254,2381941
145,Dinner Rush,634566,2001,1,6874,229340
146,Lost and Delirious,307233,2001,1,288,245238
147,Me Without You,304909,2001,1,3313,263725
148,Wet Hot American Summer,295206,2001,1,3052,243655
149,Beautiful Creatures,55835,2001,1,3915,1559547
150,Baran,125900,2001,0,3264,233841
151,Dancing at the Blue Iguana,67913,2001,1,430,217355
152,Ginger Snaps,2554,2001,1,538,210070
153,Harry Potter and the Chamber of Secrets,261988482,2002,1,2332,295297
154,Spider-Man,403706375,2002,0,1730,145487
155,Star Wars: Episode II - Attack of the Clones,302191252,2002,1,673,121765
156,Men in Black II,190418803,2002,0,84,120912
157,Die Another Day,160942139,2002,0,3683,246460
158,Signs,227966634,2002,0,5170,286106
159,Ice Age,176387405,2002,0,72,268380
160,My Big Fat Greek Wedding,241438208,2002,1,907,259446
161,Minority Report,132072926,2002,0,115,181689
162,Catch Me If You Can,164615351,2002,0,617,264464
163,Chicago,170687518,2002,1,179,299658
164,Austin Powers in Goldmember,213307889,2002,0,4,295178
165,xXx,142109382,2002,0,2268,295701
166,Scooby-Doo,153294164,2002,1,3449,267913
167,8 Mile,116750901,2002,0,2545,298203
168,Red Dragon,93149898,2002,0,4325,289765
169,Two Weeks Notice,93354851,2002,1,2263,313737
170,Panic Room,96397334,2002,1,2508,258000
171,Gangs of New York,77812000,2002,0,2551,217505
172,Road to Perdition,104454762,2002,0,2486,257044
173,Sweet Home Alabama,127223418,2002,1,7548,256415
174,Blade II,82348319,2002,0,2151,187738
175,Maid in Manhattan,94011225,2002,1,4262,252076
176,About a Boy,41385278,2002,0,7613,276751
177,Spirit: Stallion of the Cimarron,73280117,2002,0,1943,166813
178,Spy Kids 2: Island of Lost Dreams,85846429,2002,1,1905,287717
179,Unfaithful,52775765,2002,1,6971,250797
180,Snow Dogs,81172560,2002,0,1537,281373
181,We Were Soldiers,78122718,2002,1,4806,277434
182,Insomnia,67355513,2002,0,121,278504
183,Treasure Planet,38176783,2002,1,1944,133240
184,About Schmidt,65016287,2002,0,3060,257360
185,Resident Evil,40119709,2002,1,280,120804
186,28 Days Later...,45064915,2002,1,646,289043
187,Reign of Fire,43061982,2002,0,1145,253556
188,Windtalkers,40914068,2002,0,7757,245562
189,Bend It Like Beckham,32543449,2002,1,200,286499
190,Divine Secrets of the Ya-Ya Sisterhood,69599016,2002,1,1028,279778
191,Ghost Ship,30113491,2002,1,8963,288477
192,Star Trek: Nemesis,43254409,2002,0,138,253754
193,K-19: The Widowmaker,35168966,2002,0,7118,267626
194,High Crimes,41543917,2002,1,96,257756
195,Crossroads,37191304,2002,1,4592,275022
196,Drumline,56399184,2002,0,2888,303933
197,Frida,25885000,2002,0,1659,120679
198,Dragonfly,30323400,2002,0,7629,259288
199,One Hour Photo,31597131,2002,0,6239,265459
200,Blue Crush,40390647,2002,1,552,300532
201,I Spy,33561137,2002,0,119,297181
202,A Walk to Remember,41281092,2002,1,5254,281358
203,Queen of the Damned,30336800,2002,1,4441,238546
204,Undercover Brother,39089928,2002,1,5276,279493
205,Friday After Next,33253609,2002,0,7789,293815
206,Confessions of a Dangerous Mind,16007718,2002,0,5793,270288
207,City of God,7564459,2002,0,2038,317248
208,Solaris,14973382,2002,0,4784,307479
209,Far from Heaven,15901849,2002,1,2319,297884
210,Punch-Drunk Love,17844216,2002,0,5227,272338
211,25th Hour,13084595,2002,0,5080,307901
212,Antwone Fisher,21078145,2002,0,4895,168786
213,Super Troopers,18492362,2002,0,1754,247745
214,White Oleander,16357770,2002,1,1787,283139
215,S1m0ne,9688676,2002,1,143,258153
216,Tuck Everlasting,19161999,2002,1,1529,283084
217,Life or Something Like It,14448589,2002,1,6060,282687
218,Femme Fatale,6630252,2002,1,7997,280665
219,They,12840842,2002,1,5293,283632
220,Rabbit-Proof Fence,6199600,2002,1,243,252444
221,Possession,10113733,2002,1,5048,368563
222,Dirty Pretty Things,8112414,2002,1,5757,301199
223,Kissing Jessica Stein,7025722,2002,1,639,264761
224,Moonlight Mile,6835856,2002,1,5454,179098
225,Mostly Martha,4160475,2002,1,1141,246772
226,Secretary,4059680,2002,1,1515,274812
227,Infernal Affairs,169659,2002,0,6802,338564
228,Amen.,274299,2002,0,7615,280653
229,Death to Smoochy,8364691,2002,0,3049,266452
230,Impostor,6285176,2002,0,49,160399
231,Real Women Have Curves,5853194,2002,1,2108,296166
232,Igby Goes Down,4777465,2002,0,4662,280760
233,Irreversible,792200,2002,0,3832,290673
234,Spider,1642483,2002,0,7267,278731
235,Devdas,2745382,2002,1,6027,238936
236,Equilibrium,1203794,2002,0,160,238380
237,Sweet Sixteen,316319,2002,0,7517,313670
238,Tadpole,2891288,2002,0,6131,271219
239,All or Nothing,201546,2002,1,3312,286261
240,24 Hour Party People,1184096,2002,0,2450,274309
241,Below,605562,2002,0,5339,276816
242,Human Nature,705308,2002,1,1459,219822
243,No Good Deed,181600,2002,1,5813,2011159
244,Time Changer,1285167,2002,0,6766,295725
245,Intimate Stories,102897,2002,1,1224,291988
246,Lilya 4-Ever,184023,2002,1,4526,300140
247,Morvern Callar,267907,2002,1,8704,300214
248,Max,539879,2002,1,6949,3369806
249,Dog Days,13031,2002,1,8521,7365604
250,Rain,455164,2002,1,2461,965440
251,Tully,466664,2002,1,8239,5610554
252,Ten,105990,2002,1,1456,301978
253,El bonaerense,9470,2002,0,6751,315850
254,Waking Up in Reno,267109,2002,1,3463,219400
255,Charlotte Sometimes,150445,2002,0,6088,284478
256,Naqoyqatsi,133058,2002,0,4680,145937
257,Carnage,60158,2002,1,2990,1692486
258,Finding Nemo,339714978,2003,0,778,266543
259,Pirates of the Caribbean: The Curse of the Black Pearl,305413918,2003,1,510,325980
260,Bruce Almighty,242829261,2003,1,142,315327
261,Terminator 3: Rise of the Machines,150371112,2003,1,3630,181852
262,Brother Bear,85336277,2003,0,7027,328880
263,Hulk,132177234,2003,0,3227,286716
264,Love Actually,59696144,2003,1,779,314331
265,2 Fast 2 Furious,127154901,2003,0,4820,322259
266,Scary Movie 3,110003217,2003,1,325,306047
267,Elf,173398518,2003,0,8002,319343
268,Master and Commander: The Far Side of the World,93927920,2003,0,841,311113
269,S.W.A.T.,116934650,2003,1,41,257076
270,Spy Kids 3-D: Game Over,111761982,2003,1,1906,338459
271,Anger Management,135645823,2003,0,8436,305224
272,Cheaper by the Dozen,138614544,2003,0,8865,349205
273,Kill Bill: Vol. 1,70099045,2003,1,508,266697
274,Daredevil,102543518,2003,0,2193,287978
275,How to Lose a Guy in 10 Days,105813373,2003,1,1153,251127
276,Cold Mountain,95636509,2003,1,1458,159365
277,Daddy Day Care,104297061,2003,1,3700,317303
278,Freaky Friday,110230332,2003,1,1095,322330
279,Johnny English,28082366,2003,0,6662,274166
280,Lara Croft Tomb Raider: The Cradle of Life,65660196,2003,1,411,325703
281,Mystic River,90135191,2003,1,3848,327056
282,Gothika,59694580,2003,1,5360,348836
283,Mona Lisa Smile,63860942,2003,1,1460,304415
284,Big Fish,66809693,2003,0,2402,319061
285,Peter Pan,48462608,2003,1,2979,316396
286,Intolerable Cruelty,35327628,2003,1,5806,138524
287,Freddy vs. Jason,82622655,2003,1,8242,329101
288,Once Upon a Time in Mexico,56359780,2003,0,6626,285823
289,Phone Booth,46566212,2003,0,125,183649
290,Underworld,51970690,2003,1,44,320691
291,Calendar Girls,31041759,2003,1,292,337909
292,Final Destination 2,46961214,2003,1,2821,309593
293,Identity,52159536,2003,0,126,309698
294,Kangaroo Jack,66934963,2003,0,8731,257568
295,Shanghai Knights,60476872,2003,0,123,300471
296,Old School,75585093,2003,0,6986,302886
297,Sinbad: Legend of the Seven Seas,26483452,2003,0,958,165982
298,Runaway Jury,49443628,2003,0,45,313542
299,Bad Santa,60060328,2003,0,7967,307987
300,Dreamcatcher,33715436,2003,0,4161,285531
301,Holes,67406573,2003,0,1136,311289
302,Under the Tuscan Sun,43610723,2003,1,895,328589
303,Monster,34469210,2003,1,271,340855
304,Cradle 2 the Grave,34712347,2003,0,4378,306685
305,Rugrats Go Wild,39402572,2003,1,6379,337711
306,Hollywood Homicide,30940691,2003,0,1073,329717
307,What a Girl Wants,36105433,2003,0,7600,286788
308,Secondhand Lions,42070939,2003,0,2890,327137
309,Darkness Falls,32551396,2003,0,4868,282209
310,Uptown Girls,37182494,2003,1,624,263757
311,Timeline,19481943,2003,0,4502,300556
312,Basic,26793311,2003,1,5567,264395
313,Whale Rider,20779666,2003,1,598,298228
314,Girl with a Pearl Earring,11670971,2003,1,2957,335119
315,Cabin Fever,21158188,2003,1,2495,303816
316,Wrong Turn,15418790,2003,1,3645,295700
317,In the Cut,4750602,2003,1,2262,199626
318,Swimming Pool,10130108,2003,1,983,324133
319,View from the Top,15614000,2003,1,1432,264150
320,House of 1000 Corpses,12634962,2003,1,7512,251736
321,House of Sand and Fog,13040288,2003,1,2611,315983
322,Dogville,1535286,2003,1,2515,276919
323,Oldboy,707481,2003,0,5167,1321511
324,House of the Dead,10249719,2003,0,5056,317676
325,Thirteen,4601043,2003,1,2380,328538
326,Elephant,1266955,2003,1,5107,363589
327,My Life Without Me,400948,2003,1,7666,314412
328,Love Me If You Dare,553504,2003,0,7554,364517
329,"Spring, Summer, Fall, Winter... and Spring",2380788,2003,0,4938,374546
330,I Capture the Castle,1179035,2003,1,1450,300015
331,Bon voyage,148727,2003,1,4035,310778
332,High Tension,3681066,2003,1,5819,338095
333,Ju-on: The Grudge,325680,2003,1,5571,364385
334,Cowboy Bebop: The Movie,1000045,2003,1,4434,275277
335,Shattered Glass,2220008,2003,0,2521,323944
336,Camp,1629862,2003,1,4511,342167
337,Wilbur Wants to Kill Himself,235294,2003,1,2605,329767
338,Kontroll,237183,2003,0,8530,373981
339,Owning Mahowny,1011871,2003,0,8925,285861
340,A Tale of Two Sisters,72541,2003,1,2320,365376
341,Memories of Murder,15357,2003,1,7093,353969
342,Spun,411119,2003,1,4319,283003
343,Evil,15530,2003,0,7392,338309
344,Casa de los babys,478031,2003,1,2844,303830
345,Time of the Wolf,61439,2003,0,6745,324197
346,Amandla! A Revolution in Four Part Harmony,405331,2003,1,3309,303297
347,Pride and Prejudice,377271,2003,1,4254,414387
348,Gerry,254683,2003,0,4738,302674
349,May,150277,2003,1,1110,303361
350,Tokyo Godfathers,129560,2003,1,299,388473
351,Girls Will Be Girls,148047,2003,1,1514,339071
352,Manic,69958,2003,1,2081,252684
353,Girlhood,37977,2003,1,6198,3655522
354,Millennium Actress,37641,2003,0,1950,291350
355,Hotel,29813,2003,1,8610,415855
356,Teknolust,28811,2003,1,5300,270688
357,Home Room,5216,2003,1,2907,264689
358,Blindness,1602,2003,1,380,861689
359,Shrek 2,441226247,2004,1,162,298148
360,Spider-Man 2,373585825,2004,0,1731,316654
361,Meet the Fockers,279261160,2004,1,5210,290002
362,Troy,133378256,2004,0,956,332452
363,Shark Tale,160861908,2004,0,4979,307453
364,Ocean's Twelve,125544280,2004,0,475,349903
365,"I, Robot",144801023,2004,0,37,343818
366,National Treasure,173008894,2004,0,5336,368891
367,Van Helsing,120177084,2004,1,957,338526
368,Bridget Jones: The Edge of Reason,40226215,2004,1,4928,317198
369,Collateral,101005703,2004,0,2544,369339
370,Million Dollar Baby,100492203,2004,1,1148,405159
371,King Arthur,51882244,2004,0,7608,1972591
372,50 First Dates,120908074,2004,0,1205,343660
373,Dodgeball: A True Underdog Story,114326736,2004,1,5201,364725
374,Alexander,34297191,2004,0,5920,346491
375,Kill Bill: Vol. 2,66208183,2004,1,509,378194
376,Home on the Range,50030461,2004,1,4438,299172
377,Blade: Trinity,52411906,2004,1,7926,359013
378,Mean Girls,86058055,2004,1,199,377092
379,Resident Evil: Apocalypse,51201453,2004,1,281,318627
380,Ray,75331600,2004,1,3130,350258
381,Finding Neverland,51680613,2004,1,1871,308644
382,Closer,33987757,2004,1,2032,376541
383,White Chicks,70831760,2004,1,4298,381707
384,Sideways,71503593,2004,1,2249,375063
385,Saw,55185045,2004,0,807,387564
386,Dawn of the Dead,59020957,2004,1,3153,363547
387,Kung Fu Hustle,17108591,2004,0,3554,373074
388,Hellboy,59623958,2004,0,4338,167190
389,Christmas with the Kranks,73780539,2004,1,5968,388419
390,13 Going on 30,57231747,2004,1,3656,337563
391,Secret Window,48022900,2004,0,4525,363988
392,Anchorman: The Legend of Ron Burgundy,85288303,2004,1,352,357413
393,Catwoman,40202379,2004,1,1027,327554
394,Eternal Sunshine of the Spotless Mind,34400301,2004,0,133,338013
395,Without a Paddle,58169327,2004,1,6008,364751
396,Around the World in 80 Days,24008137,2004,0,1592,327437
397,A Cinderella Story,51438175,2004,1,1740,356470
398,A Very Long Engagement,6524389,2004,1,1670,344510
399,Taking Lives,32682342,2004,0,6149,364045
400,Miracle,64378093,2004,0,1597,349825
401,After the Sunset,28331233,2004,1,5550,367479
402,In Good Company,45806659,2004,0,1096,385267
403,Sky Captain and the World of Tomorrow,37762677,2004,1,682,346156
404,Cellular,32003620,2004,1,2921,337921
405,Spanglish,42726869,2004,1,746,371246
406,Open Water,30610863,2004,0,8315,374102
407,Team America: World Police,32786074,2004,0,2386,372588
408,Raising Helen,37486512,2004,1,3454,350028
409,Napoleon Dynamite,44540956,2004,0,2323,374900
410,Wimbledon,17001133,2004,1,342,360201
411,Garden State,26782316,2004,1,2266,333766
412,Jersey Girl,25268157,2004,0,5609,300051
413,Flight of the Phoenix,21009180,2004,0,472,377062
414,Shaun of the Dead,13542874,2004,1,1001,365748
415,Dirty Dancing: Havana Nights,14161590,2004,1,7668,338096
416,Ella Enchanted,22918387,2004,1,853,327679
417,New York Minute,14071441,2004,0,3198,363282
418,Mindhunters,4480744,2004,0,7648,297284
419,Ladies in Lavender,6765081,2004,1,966,377084
420,I Heart Huckabees,12785432,2004,1,916,356721
421,2046,1444588,2004,1,3234,212712
422,Kinsey,10254979,2004,1,156,362269
423,Before Sunset,5820649,2004,0,5117,381681
424,Raise Your Voice,10411980,2004,1,6150,361696
425,Being Julia,7739049,2004,1,5877,340012
426,Vera Drake,3775283,2004,1,2612,383694
427,Maria Full of Grace,6529624,2004,1,3311,390221
428,Layer Cake,2339957,2004,0,4011,375912
429,Connie and Carla,8085771,2004,1,4059,345074
430,Head-On,435395,2004,1,2871,347048
431,Saved!,8940582,2004,1,638,332375
432,Sleepover,9436390,2004,1,7602,368975
433,Coffee and Cigarettes,2198924,2004,1,4302,379217
434,Veer-Zaara,2938532,2004,1,5976,420332
435,Nathalie...,31008,2004,1,8695,348853
436,3-Iron,241914,2004,0,3557,423866
437,My Summer of Love,1000915,2004,1,2041,382189
438,Stage Beauty,782383,2004,0,7471,368658
439,Swades,1223240,2004,1,5988,367110
440,A Dirty Shame,1339668,2004,1,750,365125
441,A Love Song for Bobby Long,164308,2004,1,3314,369672
442,Going the Distance,1230897,2004,1,1607,1322312
443,Appleseed,129135,2004,1,1763,401233
444,9 Songs,66853,2004,0,6748,411705
445,She Hate Me,366037,2004,0,5824,384533
446,Criminal,929233,2004,1,6984,3014866
447,Primer,424760,2004,0,1420,390384
448,Brothers,389220,2004,1,1487,765010
449,Godzilla,412520,2004,0,5466,831387
450,Notre musique,139922,2004,0,3040,360845
451,Undertow,143597,2004,1,1577,1368491
452,Robot Stories,131451,2004,1,6698,301777
453,Eulogy,75076,2004,1,4524,349416
454,Ginger Snaps 2: Unleashed,80372,2004,1,4292,353489
455,Gypsy 83,29367,2004,1,4446,251110
456,Faster,16265,2004,0,2177,1433108
457,Harry Potter and the Goblet of Fire,290013036,2005,0,2334,330373
458,Star Wars: Episode III - Revenge of the Sith,380270577,2005,0,674,121766
459,War of the Worlds,234280354,2005,1,1072,407304
460,King Kong,218080025,2005,0,706,360717
461,Madagascar,193595521,2005,0,3149,351283
462,Charlie and the Chocolate Factory,206459076,2005,1,2417,367594
463,Mission: Impossible III,134029801,2005,0,5606,317919
464,Batman Begins,205343774,2005,0,40,372784
465,Hitch,179495555,2005,0,4113,386588
466,Fantastic Four,154696080,2005,0,6392,1502712
467,Chicken Little,135386665,2005,0,7193,371606
468,Wedding Crashers,209255921,2005,1,2270,396269
469,Robots,128200012,2005,0,99,358082
470,Constantine,75976178,2005,0,3697,360486
471,Flightplan,89707299,2005,1,2509,408790
472,Kingdom of Heaven,47398413,2005,0,1150,320661
473,Fun with Dick and Jane,110332737,2005,1,2518,369441
474,Walk the Line,119519402,2005,1,168,358273
475,Brokeback Mountain,83043761,2005,0,2037,388795
476,Memoirs of a Geisha,57490508,2005,1,3237,397535
477,Sin City,74103820,2005,1,67,401792
478,Monster-in-Law,82931301,2005,0,6575,369735
479,Saw II,87039965,2005,1,1425,432348
480,Herbie Fully Loaded,66023816,2005,1,328,400497
481,Bewitched,63313159,2005,1,4593,374536
482,Munich,47403685,2005,0,4518,408306
483,Hide and Seek,51100486,2005,1,461,382077
484,Corpse Bride,53359111,2005,1,1390,121164
485,Hoodwinked!,51386611,2005,1,2739,443536
486,Cinderella Man,61649911,2005,0,2351,352248
487,Just Like Heaven,48318130,2005,1,1396,425123
488,Crash,54580300,2005,1,3609,375679
489,Jarhead,62658220,2005,0,250,418763
490,Red Eye,57891803,2005,1,2290,421239
491,Four Brothers,74494381,2005,0,7539,430105
492,White Noise,56386759,2005,0,4769,375210
493,Transporter 2,43095856,2005,0,4795,388482
494,Rumor Has It...,43000262,2005,1,4229,398375
495,Sky High,63946815,2005,1,1819,405325
496,Match Point,23151529,2005,1,4077,416320
497,In Her Shoes,32880591,2005,1,1656,388125
498,Stealth,32116746,2005,0,4233,382992
499,Coach Carter,67264877,2005,1,2575,393162
500,Lord of War,24149632,2005,0,2072,399295
501,House of Wax,32064800,2005,0,6568,397065
502,Boogeyman,46752382,2005,0,4968,357507
503,Zathura: A Space Adventure,29258869,2005,0,5112,406375
504,Valiant,19478106,2005,0,5302,361089
505,A History of Violence,31504633,2005,1,5800,399146
506,Son of the Mask,17018422,2005,0,4711,362165
507,Must Love Dogs,43894863,2005,0,4150,417001
508,Doom,28212337,2005,0,1149,419706
509,Elektra,24409722,2005,1,6640,357277
510,"Good Night, and Good Luck.",31558003,2005,0,420,433383
511,Elizabethtown,26850426,2005,1,8908,368709
512,Capote,28750530,2005,1,3991,379725
513,Broken Flowers,13744960,2005,1,865,412019
514,Oliver Twist,2080321,2005,0,788,380599
515,Serenity,25514517,2005,0,8620,6476140
516,Casanova,11304403,2005,1,914,402894
517,Beauty Shop,36351350,2005,1,3995,388500
518,Assault on Precinct 13,20040895,2005,1,218,398712
519,Rent,29077547,2005,1,2412,294870
520,Wolf Creek,16188180,2005,1,7198,416315
521,Cursed,19297522,2005,1,4676,257516
522,Ice Princess,24402491,2005,1,3677,396652
523,North Country,18337722,2005,1,756,395972
524,Domino,10169202,2005,1,2292,421054
525,Man of the House,19699706,2005,1,378,331933
526,Waiting...,16124543,2005,1,1753,348333
527,Keeping Mum,1619466,2005,1,4798,444653
528,Kiss Kiss Bang Bang,4243756,2005,0,229,373469
529,Transamerica,9015303,2005,1,262,407265
530,Proof,7535331,2005,1,3430,377107
531,Lords of Dogtown,11273517,2005,0,5103,355702
532,Shopgirl,10284523,2005,0,2291,338427
533,Angel-A,202647,2005,0,1275,473753
534,Kinky Boots,1822428,2005,1,2293,434124
535,Stay,3626883,2005,0,8532,371257
536,Me and You and Everyone We Know,3885134,2005,1,2233,415978
537,A Good Woman,238609,2005,1,2441,379306
538,Into Great Silence,790452,2005,0,1018,478160
539,Enron: The Smartest Guys in the Room,4071700,2005,0,2254,1016268
540,Water,2250329,2005,1,685,240200
541,Breakfast on Pluto,828699,2005,0,6014,411195
542,Before the Fall,144254,2005,0,7617,384369
543,Paradise Now,1457843,2005,0,4724,445620
544,Where the Truth Lies,872142,2005,1,8476,373450
545,Separate Lies,924260,2005,0,4783,369053
546,Junebug,2678691,2005,1,364,418773
547,Little Fish,8148,2005,1,8453,382810
548,Gabrielle,332829,2005,1,5652,3106846
549,Factotum,808221,2005,0,1422,417658
550,Happy Endings,1315701,2005,1,2398,361693
551,Dear Frankie,18025,2005,1,5573,377752
552,Nine Lives,478830,2005,1,2933,420015
553,Mysterious Skin,713240,2005,0,2817,370986
554,Off the Map,1317167,2005,1,8292,332285
555,Saving Face,1187266,2005,1,3045,2140371
556,Little Manhattan,385373,2005,1,6485,412922
557,Venom,881779,2005,0,8431,1270797
558,Palindromes,553368,2005,0,2503,362004
559,Dear Wendy,23106,2005,0,2687,342272
560,Kids in America,537667,2005,1,4118,408961
561,Free Zone,32381,2005,1,7075,441761
562,House of D,388532,2005,0,7639,372334
563,D.E.B.S.,97446,2005,1,551,367631
