title,year,rating,id,imdbid
Apostle,2018,1,8444,6217306
Aquaman,2018,1,8522,1477834
Assassination Nation,2018,1,8656,6205872
Au poste!,2018,0,8319,7156222
Avengers: Infinity War,2018,1,8178,4154756
Bad Times at the El Royale,2018,0,8839,6628394
"Ballad of Buster Scruggs, The",2018,0,8497,6412452
Bella Ciao!,2018,1,8517,5861756
Ben Is Back,2018,1,8591,7545524
Bird Box,2018,1,8574,2737304
Black 47,2018,0,8803,3208026
Black Panther,2018,1,8058,1825683
BlacKkKlansman,2018,1,8368,7349662
Blindspotting,2018,0,8351,7242142
Blockers,2018,1,8433,2531344
Bohemian Rhapsody,2018,0,8462,1727824
Book Club,2018,1,8475,6857166
Boy Erased,2018,0,8832,7008872
Bullitt County,2018,1,8678,6140148
Bumblebee,2018,1,8585,4701182
Burning,2018,0,8397,7282468
Cam,2018,1,8631,8361028
Can You Ever Forgive Me?,2018,1,8485,4595882
Carmen y Lola,2018,1,8395,7485508
"Chaperone, The",2018,1,8921,2690226
Christopher Robin,2018,0,8364,4575576
"Cloverfield Paradox, The",2018,1,8082,2548396
Cold War,2018,1,8590,6543652
Colette,2018,1,8567,5437928
Crazy Rich Asians,2018,1,8378,3104988
Creed II,2018,1,8518,6343314
"Darkest Minds, The",2018,1,8380,4073790
Dead in a Week: Or Your Money Back,2018,0,8635,3525168
Deadpool 2,2018,0,8229,5463162
"Death and Life of John F. Donovan, The",2018,0,8688,4042818
Deep Murder,2018,1,8788,6975598
Den of thieves,2018,0,8733,1259528
Deslembro,2018,1,8757,8900098
Destination Wedding,2018,0,8683,6987770
Destroyer,2018,1,8690,7137380
Dog Days,2018,1,8521,7365604
Don&#39;t Leave Home,2018,1,8674,6842126
Dude,2018,1,8608,3458510
Dumplin&#39;,2018,1,8514,4878482
Early Man,2018,0,8144,4701724
Eighth Grade,2018,1,8359,7014006
En guerre,2018,0,8276,7555774
En liberte!,2018,0,8474,7534068
Fantastic Beasts: The Crimes of Grindelwald,2018,0,8484,4123430
"Favourite, The",2018,1,8490,5083738
fifty shade freed,2018,0,8858,4477536
First Man,2018,1,8445,1213641
First Match,2018,1,8630,6061074
"First Purge , The",2018,1,8343,6133466
Float Like A Butterfly,2018,1,8802,7636672
Free Solo,2018,0,8580,7775622
"Front Runner, The",2018,0,8713,7074886
Game Night,2018,1,8080,2704998
Genese,2018,0,8785,8287690
"Girl in the Spider&#39;s Web, The",2018,1,8457,5177088
Green Book,2018,0,8512,6966692
Greta,2018,1,8658,2639336
"Guernsey Literary and Potato Peel Pie Society, The",2018,1,8179,1289403
Halloween,2018,1,8452,1502407
"Happytime Murders, The",2018,1,8977,1308728
"Hate U Give, The",2018,1,8498,5580266
Hearts Beat Loud,2018,1,8091,7158430
"Heiresses, The",2018,1,8128,7875464
Hereditary,2018,1,8305,7784604
Hold the Dark,2018,0,8495,5057140
"Honor List, The",2018,1,8780,7237666
"House with a Clock in Its Walls, The",2018,0,8425,2119543
I Feel Pretty,2018,1,8365,6791096
I Like Me,2018,1,8792,7134690
If Beale Street Could Talk,2018,1,8588,7125860
In Fabric,2018,1,8931,7464188
Incredibles 2,2018,1,8290,3606756
Instant Family,2018,1,8661,7401588
Isle of Dogs,2018,1,8137,5104604
It&#39;s a Beautiful Day,2018,0,8762,8457260
Jane Fonda in Five Acts,2018,1,8734,7689958
Jefe,2018,0,8481,7527538
Johnny English Strikes Again,2018,0,8424,6921996
Jonathan,2018,0,8724,5639446
Jurassic World: Fallen Kingdom,2018,1,8302,4881806
Kaala,2018,1,8310,6929642
"Kissing Booth, The",2018,1,8214,3799232
L&#39;animale,2018,1,8597,6169920
La chute de l&#39;empire americain,2018,0,8660,7231342
Le monde est a toi,2018,0,8382,6892462
Leave No Trace,2018,1,8421,3892172
Les invisibles,2018,1,8938,8633950
Life of the Party,2018,1,8277,5619332
Lords of Chaos,2018,0,8878,4669296
Love per square foot,2018,1,8073,7853242
"Love, Simon",2018,0,8142,5164432
Mamma Mia! Here We Go Again,2018,1,8337,6911608
"Man Who Killed Don Quixote, The",2018,0,8247,1318517
Mandy,2018,0,8461,6998518
Mary Poppins Returns,2018,1,8575,5028340
Mary Queen of Scots,2018,1,8573,2328900
Maze Runner: The Death Cure,2018,1,8056,4500922
McQueen,2018,0,8833,6510332
"Meg, The",2018,1,8369,4779682
Mid90s,2018,0,8499,5613484
"Miracle Season, The",2018,1,8654,5427194
"Miseducation of Cameron Post, The",2018,1,8598,6257174
Mission Impossible: Fallout,2018,0,8342,4912910
Mortal Engines,2018,1,8572,1571234
"Mule, The",2018,0,8626,7959026
My hero academia: Two heroes,2018,1,8422,7745068
My Little Pony Equestria Girls: Forgotten Friendship,2018,1,8126,7869818
My Little Pony Equestria Girls: Rollercoaster of Friendship,2018,1,8711,8717590
Nappily Ever Aftet,2018,1,8423,0365545
NIght School,2018,1,8890,6781982
"Nutcracker and the Four Realms, The",2018,1,8637,5523010
Ocean&#39;s 8,2018,1,8280,5164214
"Old Man &amp; the Gun, The",2018,0,8578,2837574
On the Basis of Sex,2018,1,8587,4669788
Overboard,2018,1,8582,1563742
Pacific Rim: Uprising,2018,1,8134,2557478
Pass Over,2018,0,8263,7768846
Patient Zero,2018,0,8383,3458254
Please Stand By,2018,1,8489,4652650
"Predator, The",2018,0,8414,3829266
Quien te cantara,2018,0,8667,6485304
Raazi,2018,1,8754,7098658
Rafiki,2018,1,8596,8286894
Ralph Breaks the Internet,2018,1,8492,5848272
Rampage,2018,1,8381,2231461
Ready Player One,2018,1,8125,1677720
Red Sparrow,2018,1,8145,2873282
Robin Hood,2018,0,8671,4532826
Roma,2018,1,8571,6155172
Say My Name,2018,1,8718,7250378
Searching,2018,0,8472,7668870
Second Act,2018,0,8851,2126357
Set It Up,2018,1,8308,5304992
Sgt. Stubby: An American Hero,2018,0,8822,5314190
Sheherazade,2018,1,8399,8459250
Shoplifters,2018,1,8611,8075192
Sierra Burgess Is a Loser,2018,1,8434,3120280
Simmba,2018,0,8961,7212726
"Sisters Brothers, The",2018,0,8613,4971344
Skate Kitchen,2018,1,8579,7545566
Slender Man,2018,1,8407,5690360
Smallfoot,2018,1,8427,6182908
Solo: A Star Wars Story,2018,0,8246,3778644
Sorry to Bother You,2018,0,8324,5688932
Spider-Man : Into the Spider-Verse,2018,0,8523,4633694
"Spy Who Dumped Me, The",2018,1,8362,6663582
Stan &amp; Ollie,2018,1,8618,3385524
Support the Girls,2018,1,8809,6859352
Suspiria,2018,1,8465,1034415
Swiped,2018,0,8797,4867110
Tag,2018,1,8313,2854926
Teen Titans Go! To the Movies,2018,1,8345,7424200
They Shall Not Grow Old,2018,0,8715,7905466
"Titan, The",2018,0,8151,4986098
Tito e os Passaros,2018,0,8708,8327492
To All the Boys I&#39;ve Loved Before,2018,1,8385,3846674
Tomb Raider,2018,1,8121,1365519
Truth or Dare,2018,1,8347,6772950
Tully,2018,1,8239,5610554
Venom,2018,0,8431,1270797
Vice,2018,0,8577,6266538
Vox Lux,2018,1,8662,5960374
Welcome to Marwen,2018,0,8885,3289724
When We First Met,2018,0,8112,5783956
Widows,2018,1,8491,4218572
"Wild Pear Tree, The",2018,0,8400,6628102
Wild Rose,2018,1,8714,5117428
Wildling,2018,1,8520,5085924
Woman at War,2018,1,8349,7279188
You,2018,1,8743,7335184
Z-O-M-B-I-E-S,2018,1,8199,6878820
1922,2017,0,8078,6214928
47 Meters Down,2017,1,7883,2932536
6 days,2017,0,7908,4703048
A Bad Moms Christmas,2017,1,8100,6359956
A Christmas Prince,2017,1,7942,7608418
A Dog&#39;s Purpose,2017,0,8335,1753383
A Ghost Story,2017,0,8005,6265828
A man of integrity,2017,1,8023,6776462
A Man Wanted (Hatooly Ragel),2017,0,8403,6539420
Alexander IRL,2017,0,7397,5540622
Alien: Covenant,2017,1,7607,2316204
All Eyez On Me,2017,0,8336,1666185
All the Money in the World,2017,0,7979,5294550
American Assassin,2017,1,7827,1961175
American Made,2017,0,7785,3532216
Amityville: The Awakening,2017,1,7864,1935897
Annabelle: Creation,2017,1,7779,5140878
Apostasy,2017,1,8449,4729896
Atomic Blonde,2017,1,7725,2406566
Ava,2017,1,8118,6194530
Baby Driver,2017,0,7717,3890160
"Babysitter, The",2017,1,7949,4225622
Band Aid,2017,1,7833,5816374
Batman vs. Two-Face,2017,1,7920,6142314
Battle of the Sexes,2017,1,7856,4622512
Baywatch,2017,0,8230,1469304
Beach Rats,2017,1,8045,6303866
Beatriz at Dinner,2017,1,7707,5929750
Beauty and the Beast,2017,1,7523,2771200
Before I Fall,2017,1,7690,1691916
"Beguiled, The",2017,1,7746,5592248
Berlin Syndrome,2017,0,8025,3335606
"Big Sick, The",2017,1,7720,5462602
Blade Runner 2049,2017,1,7846,1856101
"Book of Birdie, The",2017,1,7811,5142400
Borg vs McEnroe,2017,0,8428,5727282
"Boss Baby, The",2017,0,7553,3874544
"Breadwinner, The",2017,1,8360,3901826
"Bride, The",2017,1,8799,6095090
Bright,2017,1,7966,5519340
Burning Sands,2017,0,8960,5826432
Bushwick,2017,1,7981,4720702
"Bye Bye Man, The",2017,1,7354,4030600
Call Me by Your Name,2017,1,7970,5726616
Canaries,2017,1,8374,4082644
Captain Underpants: The First Epic Movie,2017,0,7700,2091256
Cars 3,2017,1,7709,3606752
Cherry Pop,2017,0,7989,4807950
"Circle, The",2017,1,7604,4287320
Coco,2017,1,7930,2380307
"Coin Heist, The",2017,1,7386,5740806
Cold Skin,2017,0,8906,1034385
Creep 2,2017,0,7982,3654796
Daddy&#39;s Home 2,2017,1,8042,5657846
Dance Academy: The Movie,2017,1,7564,5834660
"Dark Tower, The",2017,0,7770,1648190
Darkest Hour,2017,0,8020,4555426
Death Note,2017,0,7794,1241317
"Death of Stalin, The",2017,0,7874,4686844
Death Race 2050,2017,1,7419,5493706
Deidra &amp; Laney Rob a Train,2017,1,7524,4144332
Descendants 2,2017,1,7996,5117876
Despicable Me 3,2017,1,7715,3469046
Detroit,2017,0,7778,5390504
Diary of a Wimpy Kid: The Long Haul,2017,0,8371,6003368
Dim the Fluorescents,2017,1,7904,6029106
"Dinner, The",2017,1,7984,3203620
"Disaster Artist, The",2017,1,7950,3521126
Disco,2017,1,7994,7401540
"Discovery, The",2017,1,7581,5155780
Disobedience,2017,1,8471,6108178
Djam,2017,1,8384,6814914
Downsizing,2017,0,7980,1389072
Dunkirk,2017,0,7748,5013056
El Camino Christmas,2017,0,7945,3255590
El libro de Lila,2017,1,8707,6870750
Embrasse-moi!,2017,1,8601,6441072
"Emoji Movie, The",2017,0,7772,4877122
"Endless, The",2017,0,8357,3986820
"Escape, The",2017,1,8379,6069126
"Everything, Everything",2017,1,7670,5001718
"Fate of the Furious, The",2017,1,7579,4630562
Felicite,2017,1,7841,5980798
Ferdinand,2017,1,8048,3411444
Fifty Shades Darker,2017,1,7469,4465564
First Reformed,2017,0,8391,6053438
Fist Fight,2017,1,8231,3401882
"Florida Project, The",2017,1,7897,5649144
Flower,2017,1,8311,2582784
For Here or To Go?,2017,1,7486,4157510
"Foreigner, The",2017,0,7858,1615160
Fun Mom Dinner,2017,1,8096,5829040
Gekijoban Fairy Tail: Dragon Cry,2017,1,8712,6548966
Gemini,2017,1,8487,5795086
Geostorm,2017,1,7860,1981128
Gerald&#39;s Game,2017,1,7847,3748172
Get Out,2017,1,7508,5052448
Ghost in the Shell,2017,1,7551,1219827
Ghost Stories,2017,0,8663,5516328
Gifted,2017,1,7669,4481414
Girls Trip,2017,1,7763,3564472
"Glass Castle, The",2017,1,8226,2378507
God&#39;s Own Country,2017,0,8394,5635086
Godard Mon Amour,2017,0,8657,5687334
Going In Style,2017,0,8329,2568862
Good Time,2017,1,7855,4846232
Goon: Last of the Enforcers,2017,0,8846,2417712
"Greatest Showman, The",2017,1,7983,1485796
Guardians of the Galaxy Vol. 2,2017,1,7595,3896198
Happy Death Day,2017,1,7857,5308322
"Hitman&#39;s Bodyguard, The",2017,1,7781,1959563
Home Again,2017,1,7868,5719700
Hostiles,2017,1,8038,5478478
How to Be a Latin Lover,2017,0,8232,4795124
I Can Speak,2017,1,8093,7342204
I Don&#39;t Feel at Home in This World Anymore,2017,1,7573,5710514
I Kill Giants,2017,1,8166,4547194
"I, Tonya",2017,1,7806,5580036
"Incredible Jessica James, The",2017,1,7762,5990342
Ingrid Goes West,2017,1,7808,5962210
Innan vi dor,2017,1,7501,5598192
It,2017,1,7799,1396484
It Comes at Night,2017,1,7736,4695012
"Jesus, Bro!",2017,0,7995,5878326
Jigsaw,2017,1,7884,3348730
John Wick: Chapter 2,2017,0,7446,4425200
Jumanji: Welcome to the Jungle,2017,1,7963,2283362
Jusqu&#39;a la garde (Custody),2017,1,8751,6002232
Justice League,2017,1,7906,0974015
Karera ga honki de amu toki wa (Close Knit),2017,1,8599,5633706
Kidnap,2017,1,7958,1458169
"Killing of a Sacred Deer, The",2017,1,8089,5715874
King Arthur,2017,0,7608,1972591
Kingsman: The Golden Circle,2017,0,7826,4649466
Kong: Skull Island,2017,0,7504,3731562
La llamada,2017,1,8027,5176252
Lady Bird,2017,1,7843,4925292
"Last Word, The",2017,1,7734,5023260
"LEGO Batman Movie, The",2017,1,7439,4116284
Life,2017,1,7540,5442430
"Little Hours, The",2017,1,7735,5666304
Logan,2017,1,7479,3315342
Logan Lucky,2017,1,7786,5439796
Loving Vincent,2017,0,8055,3262342
Lucky,2017,0,8127,5859238
"Mad Ones, The",2017,1,7887,3887208
"Man with the Iron Heart, The",2017,0,7910,3296908
Mark Felt: The Man Who Brought Down the White House,2017,0,8621,5175450
Marshall,2017,0,7899,5301662
Mary and The Witch&#39;s Flower,2017,1,8015,6336356
Mary Shelley,2017,1,8831,3906082
Maximilian,2017,0,8595,5833846
Mayhem,2017,1,8046,4348012
Megan Leavy,2017,1,7684,4899370
"Meyerowitz Stories (new and selected), The",2017,0,7896,5536736
MFKZ,2017,0,8448,4717402
Molly&#39;s Game,2017,1,7948,4209788
Mom and Dad,2017,1,8143,5462326
Monster High: Electrified,2017,1,7739,6536944
Mother!,2017,0,7803,5109784
"Mountain Between Us, The",2017,1,8408,2226597
Mudbound,2017,1,7956,2396589
"Mummy, The",2017,0,7681,2345759
Murder on the Orient Express,2017,1,7919,3402236
My Cousin Rachel,2017,1,7682,4411596
My Friend Dahmer,2017,0,8172,2291540
My Little Pony: The Movie,2017,1,7850,4131800
Naked,2017,0,7788,6048930
Nogemu noraifu: Zero,2017,1,7941,5914996
"Nut Job 2: Nutty By Nature, The",2017,1,7936,3486626
Okja,2017,1,7743,3967856
OM+ME,2017,1,7895,7341676
On Body and Soul,2017,1,7838,5607714
"Only Living Boy in New York, The",2017,0,7940,0460890
Only the Brave,2017,0,7872,3829920
Paddington 2,2017,1,8024,4468740
Petit paysan,2017,0,8250,6805302
Phantom Thread,2017,1,8017,5776858
Pilgrimage,2017,0,7870,3531202
Pirates of the Caribbean: Dead Men Tell No Tales,2017,0,7665,1790809
Pitch Perfect 3,2017,1,7988,4765284
Plasmatic Day,2017,0,7768,6524480
Pokemon the Movie: I Choose You!,2017,1,7888,6595896
Posoki (Directions),2017,0,8752,6467968
"Post, The",2017,1,8106,6294822
Power Rangers,2017,1,7527,3717490
Professor Marston and the Wonder Women,2017,1,7852,6133130
Psych: The Movie,2017,1,7939,6868216
"Punisher, The",2017,1,7913,5675620
Revelator,2017,1,7825,5296086
Revenge,2017,0,7839,6738136
Rings,2017,0,8669,0498381
"Ritual, The",2017,0,8176,5638642
"Roman J. Israel, Esq.",2017,1,8044,6000478
Rough Night,2017,1,7701,4799050
Sand Castle,2017,0,7909,2582576
Seagull,2017,1,7894,5997830
Secret Superstar,2017,1,8697,6108090
seven sisters,2017,1,7844,4956232
"Shack, The",2017,1,7708,2872518
"Shape of Water, The",2017,1,7951,5580390
Sharknado 5: Global Swarming,2017,1,8353,6298780
Shelter,2017,1,8806,6249434
Signature Move,2017,1,8600,5328952
Singwa hamgge,2017,0,8094,7160070
Snatched,2017,1,7676,2334871
"Space Between Us, The",2017,1,7445,3922818
Spider-Man: Homecoming,2017,1,7724,2250912
"Square, The",2017,0,7859,4995790
Star Wars: The Last Jedi,2017,1,7946,2527336
Sweet Virginia,2017,1,8074,2582498
T2 Trainspotting,2017,1,7677,2763304
Table 19,2017,1,7490,1412528
That&#39;s Not Me,2017,1,8409,4738802
Thelma,2017,1,8113,6304046
Thor: Ragnarok,2017,0,7875,3501632
Thoroughbreds,2017,1,8103,5649108
"Three Billboards Outside Ebbing, Missouri",2017,1,7953,5027774
To the bone,2017,1,7780,5541240
Transformers: The Last Knight,2017,0,7934,3371366
Tulip Fever,2017,1,7787,0491203
Tuntematon sotilas,2017,1,8031,4065552
Un beau soleil interieur,2017,0,7853,6423776
Unforgettable,2017,1,7592,3462710
Unicorn Store,2017,1,8726,2338454
Unlocked,2017,1,7597,1734493
Valerian and the City of a Thousand Planets,2017,0,7751,2239822
Ver&oacute;nica,2017,1,7985,5862312
Victoria &amp; Abdul,2017,0,7854,5816682
"Wall, The",2017,0,7863,4218696
War for the Planet of the Apes,2017,0,7742,3450958
War Machine,2017,0,8847,4758646
What Happened to Monday,2017,1,7795,1536537
Wheelman,2017,0,7869,5723286
"Wife, The",2017,1,8670,3750872
Wilson,2017,1,7978,1781058
Wind River,2017,1,7745,5362988
Wish Upon,2017,1,7747,5322012
Wolf Warrior 2,2017,0,8026,7131870
Wonder,2017,1,7903,2543472
Wonder Wheel,2017,1,7954,5825380
Wonder Woman,2017,1,7241,0451279
xXx: Return of Xander Cage,2017,1,7411,1293847
You Get Me,2017,1,8307,5539054
You Were Never Really Here,2017,0,8163,5742374
10 Cloverfield Lane,2016,1,6776,1179933
10 Days In A Madhouse,2016,1,6896,3453052
13 Hours,2016,0,6992,4172430
20th Century Women,2016,1,7372,4385888
"5th Wave, The",2016,0,6680,2304933
"9th Life of Louis Drax, The",2016,0,7719,3991412
A Cure for Wellness,2016,0,7460,4731136
A Dark Song,2016,0,8001,4805316
A Monster Calls,2016,1,8372,3416532
A Quiet Passion,2016,1,7837,2392830
A United Kingdom,2016,1,7784,3387266
Absolutely Fabulous: The Movie,2016,1,6978,2112096
"Accountant, The",2016,0,7212,2140479
Adventures in Babysitting,2016,1,7104,4456850
Alice Through the Looking Glass,2016,1,6908,2567026
All Girls Weekend,2016,1,7436,4247682
Allied,2016,1,8341,3640424
Almost Christmas,2016,1,7758,4649416
Always Shine,2016,1,7525,4392770
American Honey,2016,1,7182,3721936
"Angry Birds Movie, The",2016,0,8309,1985949
Approaching the Unknown,2016,0,6934,2674430
Aquarius,2016,1,7456,5221584
Arrival,2016,1,7257,2543164
Aruvi,2016,1,7961,5867800
Assassin&#39;s Creed,2016,0,7351,2094766
"Autopsy of Jane Doe, The",2016,0,7975,3289956
Bad Moms,2016,1,7025,4651520
Ballerina,2016,1,7310,2261287
Bang Gang,2016,1,6720,3838728
Bar Bahar,2016,1,7485,5974388
Barbershop: The Next Cut,2016,1,8373,3628584
Batman v Superman: Dawn of Justice,2016,0,6788,2975590
Batman: Return of the Caped Crusaders,2016,0,7282,5973626
Batman: The Killing Joke,2016,0,7000,4853102
Be Somebody,2016,1,6942,5512872
Belgica,2016,0,6778,3544218
"Belko Experiment, The",2016,1,7688,1082807
Below Her Mouth,2016,1,7569,5073620
Better Watch Out,2016,1,8049,4443658
"BFG, The",2016,1,6964,3691740
Billions,2016,1,8348,4270492
Birkebeinerne,2016,0,7313,4738360
"Birth of a Nation, The",2016,0,8207,4196450
Blair Witch,2016,0,8338,1540011
Bliss!,2016,1,8505,1316541
"Boss, The",2016,1,6821,2702724
"Boy, The",2016,1,6755,3882082
Breathing Deep,2016,0,7546,4869556
Bridget Jones&#39;s Baby,2016,1,7283,1473832
"Brothers Grimsby, The",2016,0,8228,3381008
Busanhaeng,2016,1,7061,5700672
Cafe Society,2016,0,6980,4513674
Cam-Girl,2016,1,7722,2290819
Captain America: Civil War,2016,1,6857,3498820
Captain Fantastic,2016,1,7082,3553976
Catfight,2016,1,7126,5294198
Central Intelligence,2016,0,7286,1489889
Certain Women,2016,1,7246,4468634
"Choice, The",2016,1,8272,3797868
Christine,2016,1,7473,4666726
Collateral Beauty,2016,0,8339,4682786
Colossal,2016,0,7691,4680182
"Conjuring 2, The",2016,1,6931,3065204
Contratiempo,2016,0,7430,4857264
Courier X,2016,0,8705,3589968
Criminal,2016,1,6984,3014866
"Crouching Tiger, Hidden Dragon: Sword of Destiny",2016,1,6761,2652118
Dad&#39;s Army,2016,1,6970,4104054
Dangal,2016,1,7374,5074352
"Darkness, The",2016,0,7766,1878841
Deadpool,2016,0,6722,1431045
Dear Eleanor,2016,1,7047,2927212
Deepwater Horizon,2016,0,7379,1860357
Demain tout commence,2016,1,7398,5078204
Denial,2016,1,7562,4645330
Dernieres nouvelles du cosmos,2016,1,7368,5786040
Die letzte Sau,2016,0,7097,5348774
Dirty 30,2016,1,7154,5521550
Dirty Grandpa,2016,0,8376,1860213
"Divergent Series: Allegiant, The",2016,1,6768,3410834
Divines,2016,1,7274,4730986
Doctor Strange,2016,0,7225,1211837
Don&#39;t Breathe,2016,1,7080,4160708
Don&#39;t Hang Up,2016,0,7767,3610746
